objectid,stn_name,stn_no,x,y,latitude,longitude,color,location
20,JURONG EAST MRT STATION,NS1,17869.0806,35038.9472,1.33315262,103.7423112,RED,POINT(103.7423112 1.33315262)
54,KADALOOR LRT STATION,PE5,37255.4884,42384.6619,1.399584853,103.9164619,OTHERS,POINT(103.9164619 1.399584853)
141,KAKI BUKIT MRT STATION,DT28,36362.4224,35239.5458,1.334967302,103.9084393,BLUE,POINT(103.9084393 1.334967302)
26,KALLANG MRT STATION,EW10,32236.6038,32643.3302,1.31148891,103.8713766,GREEN,POINT(103.8713766 1.31148891)
68,KANGKAR LRT STATION,SE4,35662.7300,40658.9821,1.383978902,103.9021539,OTHERS,POINT(103.9021539 1.383978902)
57,KEAT HONG LRT STATION,BP3,18622.5727,40064.5711,1.378602766,103.7490799,OTHERS,POINT(103.7490799 1.378602766)
31,KEMBANGAN MRT STATION,EW6,36862.1237,33699.3568,1.321038249,103.9129282,GREEN,POINT(103.9129282 1.321038249)
104,KENT RIDGE MRT STATION,CC24,22581.5421,30650.0972,1.293462633,103.7846438,YELLOW,POINT(103.7846438 1.293462633)
3,KHATIB MRT STATION,NS14,27962.3108,44352.5680,1.41738337,103.83298,RED,POINT(103.83298 1.41738337)
137,KING ALBERT PARK MRT STATION,DT6,22489.8451,35316.6349,1.335665121,103.7838201,BLUE,POINT(103.7838201 1.335665121)
119,KOVAN MRT STATION,NE13,33758.7578,38027.2795,1.360179171,103.8850503,PURPLE,POINT(103.8850503 1.360179171)
4,KRANJI MRT STATION,NS7,20081.6974,45214.5479,1.425177699,103.7621874,RED,POINT(103.7621874 1.425177699)
45,KUPANG LRT STATION,SW3,33334.8164,42232.8408,1.398212828,103.881242,OTHERS,POINT(103.881242 1.398212828)
130,LABRADOR PARK MRT STATION,CC27,24619.0578,28313.6298,1.272332732,103.8029471,YELLOW,POINT(103.8029471 1.272332732)
39,LAKESIDE MRT STATION,EW26,15494.5171,36267.1619,1.344259249,103.7209802,GREEN,POINT(103.7209802 1.344259249)
163,LAVENDER MRT STATION,EW11,31284.2589,32186.4342,1.30735702,103.8628215,GREEN,POINT(103.8628215 1.30735702)
67,LAYAR LRT STATION,SW6,33198.3233,41554.6829,1.392079839,103.8800158,OTHERS,POINT(103.8800158 1.392079839)
168,LITTLE INDIA MRT STATION,DT12,29698.9692,32168.8611,1.303916484,103.8524167,BLUE,POINT(103.8524167 1.303916484)
169,LITTLE INDIA MRT STATION,NE7,29817.1982,32124.8312,1.307198223,103.8485807,PURPLE,POINT(103.8485807 1.307198223)
162,LORONG CHUAN MRT STATION,CC14,31431.4054,37079.9444,1.351612171,103.8641434,YELLOW,POINT(103.8641434 1.351612171)
94,MACPHERSON MRT STATION,CC10,34340.0124,34286.1222,1.326345372,103.8902718,YELLOW,POINT(103.8902718 1.326345372)
105,MACPHERSON MRT STATION,DT26,34235.7966,34256.4317,1.326076883,103.8893356,BLUE,POINT(103.8893356 1.326076883)
129,MARINA BAY MRT STATION,CE2,30423.4296,28735.7843,1.276150637,103.8550886,OTHERS,POINT(103.8550886 1.276150637)
128,MARINA BAY MRT STATION,NS27,30368.2057,28766.3819,1.276427355,103.8545925,RED,POINT(103.8545925 1.276427355)
150,MARINA SOUTH PIER MRT STATION,NS28,31287.7063,28203.4939,1.271336711,103.8628525,RED,POINT(103.8628525 1.271336711)
36,MARSILING MRT STATION,NS8,21406.6874,46025.7686,1.432514421,103.77409,RED,POINT(103.77409 1.432514421)
